omit,author_date,doi,earliestyear_sampled,latestyear_sampled,method,method_specific,volume_measure,river_ocean,lowestsize_mm,lowest_mesh,vol_L,vol_source,uppersize_mm,Cavg.L,Csd.L,num_samples,total_particles_collected,separation,primary_id,secondary_id,highest_id,no_particles_secondary,validation_rate,top_shape,excluded_particles,topsize_bottom_mm,topsize_upper_mm,avg_size_mm,top_polymer,second_polymer,top_color,second_color,location,lat,long,waterblanks,airblanks,blanks_subtracted,comment
0,Kang 2015,https://doi.org/10.1016/j.marpolbul.2015.04.054,2012,2012,grab,bucket+handnet,vessel,marine,0.05,mesh,100,given,25,0.753771,,40,,WPO,dissecting,ftir,ftir,,,fiber,,0.05,2,,polystyrene,,,,Sea of Korea,35.04813964,128.9193434,0,0,no,"calls it a handnet, but is discrete then filtered"
0,Sadri 2014,https://doi.org/10.1016/j.marpolbul.2014.02.020,2012,2012,net,manta,time x speed,estuary,0.3,mesh,277800.3,"calculated, speed",,0.000028,,18,204,none,dissecting,ftir,ftir,102,0.84,fragment,,1,3,,polyethylene,polystyrene,,,River Tamar estuary,50.36188397,-4.171280075,0,0,no,"estuary, triplicates, assumed full manta net submerged, they share doubt about their volume measurements (and therefore never calculated concentration). No distance or flow measurements presented."
0,Song 2014,https://doi-org.proxy.library.cornell.edu/10.1021/es501757s,2012,2012,net,manta,not mentioned,marine,0.33,mesh,24076.026,"calculated, speed",,0.047,0.192,20,,WPO,stereomicroscope,ftir,ftir,,,bead,,,,,polystyrene,,,,Geoje Island,34.91442231,128.7410598,3,0,none,"reported volume range 44.6-83.1m3, evidence my calculation is actually an underestimate. Assumed 1/2 of manta net was submerged"
0,Song 2014,https://doi-org.proxy.library.cornell.edu/10.1021/es501757s,2012,2012,grab,bulk,vessel,marine,0.00075,mesh,100,given,,0.213,0.141,6,,none,compound,ftir,ftir,,1,fragment,,,,,paint,,,,Geoje Island,34.91442231,128.7410598,3,0,no,Oddly looks like bulk sample collected with pump or autosampler in supp materials photo. But all description sounds like large dipped jug instead.
0,Song 2014,https://doi-org.proxy.library.cornell.edu/10.1021/es501757s,2012,2012,grab,bucket+handnet,vessel,marine,0.05,mesh,100,given,,0.213,0.141,20,,WPO,stereomicroscope,ftir,ftir,,,bead,,,,,polystyrene,,,,Geoje Island,34.91442231,128.7410598,3,0,no,
0,de Lucia 2014,https://doi.org/10.1016/j.marenvres.2014.03.017,2012,2013,net,manta,mechanical flowmeter,marine,0.5,mesh,605103.4483,averaged,5,0.00015,,48,2673,none,stereomicroscope,none,visual,,,,,,,,,,,,Gulf of Oristano,39.84157738,8.49449509,3,0,yes,3 replicates at each site
0,Lima 2014,https://doi.org/10.1016/j.envres.2014.03.031,2012,2013,net,conical,mechanical flowmeter,estuary,0.3,mesh,72302.15808,"calculated, speed",5,0.00034,0.00031,216,14724,none,dissecting,none,visual,,,film,,,,2.23,,,white,green,Goiana Estuary,-7.546423432,-34.86855437,0,0,no,estuary. Total count includes bottom haul samples. 3 top and 3 bottom samples were taken at each point. Types of plastics are only for surface (estimated from fig 5) but colors are for surface and bottom combined.
0,Panti 2015,http://dx.doi.org/10.1071/EN14234,2012,2013,net,conical,flowmeter,marine,0.2,mesh,196741.109,"calculated, speed",5,0.00017,0.00032,27,,none,dissecting,none,visual,,,,fibers & paint,1.01,5,,,,,,Sardinian Sea,40.94675761,8.357307155,0,0,no,mediterranean sea. Textile fibers and paint fragments omited from count categorically
0,Setälä 2016,https://doi.org/10.1016/j.marpolbul.2016.06.065,2013,2013,net,manta,mechanical flowmeter,marine,0.333,mesh,117679.2938,"calculated, speed",,0.0002,0.0002,12,,none,dissecting,hot needle,visual,,,fiber,paint,,,,,,,,Gulf of Finland,59.8775551,25.64177321,0,0,no,"gulf of finland, ""most of the times a tow lasted for 10min at a speed of 2.5 knots"" so I've used this to calculate volume. Ignored two pump concentrations because of unclear volume-concentration relationships"
0,Zhao 2014,https://doi.org/10.1016/j.marpolbul.2014.06.032,2013,2013,net,rectangular,not mentioned,marine,0.333,mesh,157.9766667,averaged,5,0.000167,0.000138,15,,WPO,dissecting,none,visual,,,fiber,,0.5,1,,,,clear,colored,East China Sea,31.39357239,122.3830702,0,0,no,"east china sea (left out estuary), each sampling has volume given--I've averaged them"
0,Faure 2015,https://doi-org.proxy.library.cornell.edu/10.1071/EN14218,2013,2013,net,manta,mechanical flowmeter,lake,0.3,mesh,360000,given,,0.001011111,0.12,39,"mentions samples stored in saturated salt solution, but doesn't specifically say how they were separated out from it. I've assumed this counts as a density separation",density,dissecting,ftir,ftir,,,fragment,,0.33,1,,polyetheylene,polypropylene,,,Swiss lakes,46.72354506,6.904512704,0,0,no,"divided items/km2 by 1/2 of net opening height. Average volume sampled given. Included only lake samples, but could easily include a row for the river samples, as well. Platic types  not separated by location, but included here anyway. No mention of how blanks were treated (or what was found in them)"
0,Free 2014,https://doi.org/10.1016/j.marpolbul.2014.06.001,2013,2013,net,manta,GPS distance,lake,0.333,mesh,316321.9416,"calculated, speed",4.75+,0.0002533,,9,,WPO,light,none,visual,,,fragment,,0.333,0.999,,,,,,Lake Hovsgol,51.23983107,100.5902464,0,0,no,mongolia. Assumed manta net 1/2 submerged. Divided average concentration (items/km2) by 1/2 manta height
0,Cozar 2015,https://doi-org.proxy.library.cornell.edu/10.1371/journal.pone.0121762,2013,2013,net,rectangular,flowmeter,marine,0.2,mesh,289375.3125,"calculated, speed",1,0.00025,,39,3901,none,optical,none,visual,,,fragment,,0.5,4,,,,,,Mediterranean Sea,36.14883512,17.90541025,0,0,no,"estimated volume based on trawl & given ""submerged area of the net mouth (1.00m x 0.25m)"""
0,Zhao 2014,https://doi.org/10.1016/j.marpolbul.2014.06.032,2013,2013,pump,Teflon pump,not mentioned,estuary,0.032,sieve,16.57142857,averaged,5,4.1373,2.4616,7,,WPO,dissecting,none,visual,,,fiber,,0.5,1,,,,colored,clear,Yangtze River Estuary,31.76347898,121.0804609,0,0,no,same study as above. Depth of 1m. Two replicate pump samples passed through sieve
0,Leslie 2017,https://doi.org/10.1016/j.envint.2017.01.018,2012,2013,grab,bulk,vessel,river,0.0007,filter,2,given,5,100,,6,,density,dissecting,ftir,ftir,,1,fiber,size <.1,0.01,0.3,,,,clear,,Amsterdam canals,52.3673867,4.896879931,>1,0,yes,"only amsterdam canals included in this row. Says smallest size examined was 10 micron, but no step of the method describes how they enforce that level, so I've chosen to include the filter size in the lowest size box."
??,Setälä 2016,https://doi.org/10.1016/j.marpolbul.2016.06.065,2013,2013,pump,submerged impeller,flowmeter,marine,0.3,mesh,0.002,given,,0.0006,0.0004,24,,,dissecting,hot needle,,,,fiber,paint,,,,,,,,Gulf of Finland,59.8775551,25.64177321,3,0,no,sampling depth = 0-0.5
??,Setälä 2016,https://doi.org/10.1016/j.marpolbul.2016.06.065,2013,2013,pump,submerged impeller,mechanical flowmeter,marine,0.1,mesh,0.002,given,,0.0013,0.0019,12,,,dissecting,hot needle,,,,fiber,paint,,,,,,,,Gulf of Finland,59.8775551,25.64177321,3,0,no,sampling depth = 0-0.5
0,Chae 2015,10.1007/s00244-015-0173-4,,2014,grab,bucket+handnet,vessel,marine,0.02,mesh,100,given,,1.602,1.274,12,,WPO,none,ftir,ftir,,1,fragment,,0.3,1,,alkyd resin,poly(acrylate/styrene),,,Keyeonggi Coast,37.29315173,126.4762257,3,0,none,consider ignoring: blended method (dipped bucket then poured through handnet)--called handnet method in paper. 30cm below surface
0,Chae 2015,10.1007/s00244-015-0173-4,,2014,net,conical,mechanical flowmeter,marine,0.33,mesh,100000,given,,0.00019,0.00014,12,"""Thus, a consensus for a standard sampling protocol is required for local or global comparison of the distribution characteristics and/or the abundances of microplastics in SSW"" (above fig 3)",WPO,none,ftir,ftir,,1,fragment,,0.05,0.3,,alkyd resin,poly(acrylate/styrene),,,Keyeonggi Coast,37.29315173,126.4762257,3,0,yes,not-quite-surface: mouth of net below water surface
0,Frere 2017,http://dx.doi.org/10.1016/j.envpol.2017.03.023,2014,2014,net,manta,mechanical flowmeter,marine,0.335,mesh,84917.64706,"calculated, distance",5,0.00024,0.00035,18,,none,dissecting,Raman,Raman,,,fragment,fibers,0.335,1,,polyethylene,polypropylene,blue,black,Bay of Brest,48.36199846,-4.472325005,>1,0,yes,used two different flow meters (not wure if at once or for different sampling events. Fibers excluded
0,Gajst 2016,https://doi.org/10.1016/j.marpolbul.2016.10.031,2012,2014,net,rectangular,GPS distance,marine,0.3,mesh,84917.64706,"calculated, distance",,0.006292941,0.00268,17,6086,none,steromicroscope,near-infrared spectrometer,near-infrared spectrometer,850,0.86,fragment,,2,3,2.69,polyethylene,polypropylene,,,Gulf of Trieste,45.57226985,13.60001778,0,0,no,averaged concentration from table 1. used distances in table 1 (avged) and net mouth size to calculate volume sampled (assumed 1/2 net mouth submerged)
0,Mani 2016,https://doi.org/10.1038/srep17988,2014,2014,net,manta,flowmeter,river,0.3,mesh,150000,given,5,0.009919744,,31,25956,WPO,dissecting,ftir,ftir,118,,bead,,0.3,1,,polystyrene,polypropylene,,,Rhine River,50.9807178,6.982404998,>1,>1,unknown,"concentration given in /km2: I divided by 1/2 net opening. Volume given. Density, enzyme & WPO separation all used."
0,Barrows 2017,https://doi-org.proxy.library.cornell.edu/10.1039/C6AY02387H,2014,2014,net,rectangular,GPS distance,marine,0.335,mesh,395865,"calculated, distance",9.6,0.005,0.004,6,,density,stereomicroscope,hot needle,visual,,,fiber,,3.2,5,,,,blue,clear,Maine Coast,43.78115653,-69.61935161,2,2,no,"Maine coast, paired samples. They calculated volume sampled by submerged mouth opening area x tow distance. In paper, concentration reported /km2. I've converted. (I've assumed distance was calculated by GPS, but this is actually unspecified in the paper). Not explicit about whether blanks were subtracted. I've assumed they were not."
0,Barrows 2017,https://doi-org.proxy.library.cornell.edu/10.1039/C6AY02387H,2014,2014,grab,bulk,vessel,marine,0.00045,filter,1,given,9.6,5.9,4.4,18,,none,stereomicroscope,hot needle,visual,,,fiber,,0.1,1.5,,,,clear,blue,Main Coast,43.78115653,-69.61935161,2,2,no,"Maine coast, paired samples. Not explicit about whether blanks were subtracted. I've assumed they were not."
0,Zhang 2015,https://doi.org/10.1016/j.envpol.2015.04.023,2014,2014,net,rectangular,GPS distance,lake,0.112,mesh,99722.22222,"calculated, distance",5,0.024546,,9,,density,stereomicroscope,ftir,ftir,675,,film,,0.5,1.6,,polyetheylene,,,,Three Gorges Reservoir,30.87287657,110.9488191,0,0,no,"!!do they underestimate volume sampled?? assumed half of net opening submerged. Averaged distance towed. Reservoir on river. Left out info that reservoir flow was 1km/hr because no info on direction of tow relative to flow. Averaged mainstream with tributary. actually reservoir with flow, not actually lake, but whatever [I have inferred they got distance from GPS but not specified in text]"
0,Cable 2017,https://doi.org/10.3389/fenvs.2017.00045,2014,2014,net,manta,mechanical flowmeter,lake,0.1,mesh,60251.7984,"calculated, speed",4.75,0.006224063,,108,,WPO,dissecting,SEM,SEM,260,0.76,fragment,,0.106,1,,,,,,Great Lakes,43.48436981,-82.27805595,3,0,no,all lake concentrations averaged. Summed all plastic concentration less than 4.75 to get concentration items/km2. Then divided by 1/2 mouth height
0,Naidoo 2015,https://doi.org/10.1016/j.marpolbul.2015.09.044,,2014,net,conical,flowmeter,estuary,0.3,mesh,10000,given,,0.002958,,25,2188.8,density,dissecting,ftir,ftir,,,fragment,,0.25,5,,,,,,Durbhan Harbour,-29.87312914,31.02530954,0,10,none,"5 replicates at each station. Each estuary mean given in terms of items/10,000L. Says FTIR used for particles hard to ID, but no results given for theses"
0,Lusher 2015,https://doi-org.proxy.library.cornell.edu/10.1038/srep14947,2014,2014,net,manta,flowmeter,marine,0.333,mesh,58745.50344,"calculated, speed",,0.00034,0.00031,21,261,none,stereomicroscope,ftir,ftir,30,0.5,fiber,,,,1.93,polyester,polyamide,black,blue,Svalbard archipelago,76.413,15.286,>1,0,none,"given: average tow speed, averaged depth sampled (.1-.16). Calculated volume. "
0,Schönlau 2020,https://doi.org/10.1016/j.marpolbul.2020.111019,2014,2014,net,manta,flowmeter,marine,0.333,mesh,179629.3333,averaged,,6.46E-05,9.66E-05,24,253,none,stereomicroscope,near-infrared spectrometer,near-infrared spectrometer,,,fiber,transparent fibers,,,,polyethylene,polypropylene,black,blue,Baltic Sea,59.18735022,21.28841446,>1,>1,yes,volume given by tow in supp material
0,Schönlau 2020,https://doi.org/10.1016/j.marpolbul.2020.111019,2014,2014,pump,in situ pump,flowmeter,marine,0.3,sieve,13028,averaged,,0.001406364,0.003124661,11,35,none,stereomicroscope,none,visual,,,fiber,transparent fibers,,,,polyethylene,polypropylene,black,blue,Baltic Sea,59.18735022,21.28841446,0,>1,yes,ignored .05mm sieve values becaues volume sampled varied. Volume given by sample in supp material (averaged .33 pump amounts only). Concentration values in text don't exactly match those in supp materials. I've used those in text.
0,Tamminga 2018,https://doi.org/10.1016/j.marpolbul.2018.01.066,2015,2015,grab,bulk,water sampler,marine,0.005,sieve,5,given,5,1.318461538,0.694068274,13,80,WPO,Nile red,nile red,nile red,,,fiber,none,0.013,0.3,,,,,,South Funen Archipelago,55.01009038,10.24664526,10,0,yes,"included only 0.5m depth. Integrated water sampler. Number of total particles likely includes particles found in deeper samples, but otherwise, I have included only concentration values & fiber-fragment prevelance from depth = 0.5 (supp table A1)"
0,Aytan 2016,https://doi.org/10.1016/j.marenvres.2016.05.009,2014,2015,net,conical,digital flowmeter,marine,0.2,mesh,200633.55,"calculated, speed",5,0.000674,0.000543695,12,,density,visual,none,visual,,,fiber,,0.2,5,,,,,,Black Sea,42.96702652,34.02642443,0,0,no,"avg'ed nov & feb sampling effort avgs. MP concentration available for each station & month. WP2 net is vertical plankton net, but they towed it horizontally."
0,Castro 2016,https://doi.org/10.1016/j.marpolbul.2016.05.037,2015,2015,net,conical,mechanical flowmeter,marine,0.15,mesh,28274.33388,"calculated, distance",,0.0164,,9,,none,stereomicroscope,ftir,ftir,30,,fragment,,0.15,1,,polyethylene,polypropylene,blue,green,Jurujuba Cove,-22.92133823,-43.10935654,0,0,no,top .2m of water column. Rainy and dry season samples.
0,di Mauro,http://dx.doi.org/10.1016/j.envpol.2017.07.030,2015,2015,net,conical,GPS distance,marine,0.335,mesh,23650,averaged,5,0.013,,4,295,none,dissecting microscope,ftir,ftir,9,1,fragment,,,,,,,,,Gulf of Mexico,28.84103895,-91.12036583,2,0,no,"average data also available. They got volume by measuring tow distance and estimating that 70% of net mouth was submerged. Ignored bongo nets, since those were vertical tows. Their methods explanation: ""First, net sampling implicitly introduces bias based on the mesh size selected. Second, size spectrum theory for particulate matter in the marine environment predicts an inverse relationship between abundance and particle size (Sheldon and Parsons, 1967)"""
0,Tamminga 2018,https://doi.org/10.1016/j.marpolbul.2018.01.066,2015,2015,net,manta,GPS distance,marine,0.3,mesh,156.4,averaged,5,0.00007,0.00002,10,137,WPO,Nile red,nile red,nile red,,,fiber,none,0.63,1,,,,,,South Funen Archipelago,55.01009038,10.24664526,4,0,yes,"""net & grab should be considered complementary, sampling different parts of mp pollution"""
0,van der Hal 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,2013,2015,net,manta,mechanical flowmeter,marine,0.333,mesh,55560.06,"calculated, speed",5,0.00768,0.00238,108,94417,none,dissecting,none,visual,,,fragment,,,,,,,clear,white,Easte Mediterranean Sea,31.98206568,34.66064213,0,0,no,mediterranean coast
0,Baldwin 2016,https://doi-org.proxy.library.cornell.edu/10.1021/acs.est.6b02917,2014,2015,net,rectangular,flowmeter,river,0.333,mesh,127719.6,given,4.76+,0.0041996,,107,,WPO,dissection,none,visual,,,fiber,,0.355,0.99,,,,,,Great Lakes tributaries,42.4990833,-83.68240324,16,0,no,29 different rivers across 6 states. Full data available here: https://www.sciencebase.gov/catalog/item/5748a29be4b07e28b664dd62
0,Estahbanati 2016,https://doi.org/10.1016/j.chemosphere.2016.07.083,2015,2015,net,conical,river velocity,river,0.153,mesh,7400,averaged,2,0.04785,,,,WPO,stereomicroscope,none,visual,,,,,0.125,0.25,,,,,,Raritan River,40.6327886,-74.71374494,>1,>1,no,average tow length given in supp materials. Additional info in table 1. volume calculated by float method varified by current meter (but no mention that this was done at mouth of net and not just in surrounding waters)
0,Su 2016,https://doi.org/10.1016/j.envpol.2016.06.036,2015,2015,net,conical,not mentioned,lake,0.333,mesh,12443.65215,"calculated, distance",,0.008448148,0.007505037,11,,WPO,stereomicroscope,ftir,ftir,25,0.68,fiber,,0.333,1,,cellophane,polyethylene terephthalate,blue,black,Taihu Lake,31.23153213,120.1642223,>1,>1,no,"paired. microftir. Particle totals and subset looked at under FTIR is for sediment water, grab and net samples all together. Concentration converted from /km2 using given sampling depth (""less than .3m""). Averaged regional average values from fig 2a. ""Background contamination represented 6.8% of the average abundance of microplastic detected in field samples"""
0,Green 2018,https://doi.org/10.1016/j.marpolbul.2018.11.004,2015,2015,grab,bulk,vessel,marine,0.00045,filter,1,given,,4.573333333,,23,,none,,ftir,ftir,29,,fiber,,,,,,,,,Falkan Islands,-51.32916426,-59.05581098,>1,3,no,"Average of all three sampling locations. Only 10% of particles were subjected to WPO, the rest were counted without any separation, so I've said ""none"" for separation"
0,Su 2016,https://doi.org/10.1016/j.envpol.2016.06.036,2015,2015,grab,bulk,vessel,lake,0.00045,filter,5,given,,10.68888889,6.855006281,11,,WPO,stereomicroscope,ftir,ftir,28,0.785714286,fiber,,0.1,0.333,,cellophane,"polyester, teephthalic acid",blue,clear,Taihu Lake,31.23153213,120.1642223,>1,>1,no,"paired. steel sampler. 3 samples at each site, pooled into 5L total. ""Background contamination represented 6.8% of the average abundance of microplastic detected in field samples"""
?,Green 2018,https://doi.org/10.1016/j.marpolbul.2018.11.004,2015,2015,net,manta,time x speed,marine,0.3,mesh,57875.0625,"calculated, speed",,0.000000783,0.000000266,10,,,,,,6,0.666666667,fiber,,,,,polyethylene,,,,Falkan Islands,-51.32916426,-59.05581098,>1,3,no,"manta net (ignored bongo net in study). Sampled ""top 15cm"". Plymoth bay only (could go back and incorporate portaferry values too but they use two different mesh sizes"
x,di Mauro,http://dx.doi.org/10.1016/j.envpol.2017.07.030,2015,2015,grab,niskin,vessel,marine,0.335,,5,given,,10.16,,,,,,,,,,,,,,,,,,,,,,,,,"niskin, 10+ meters below the surface :("
0,Kapp 2018,https://doi.org/10.1016/j.envpol.2018.06.033,2016,2016,grab,bulk,vessel,river,0.00045,filter,1.85,given,,0.91,1.14,28,48,none,dissecting,hot needle,visual,,,fiber,clear and pink fibers,0.1,0.5,,,,,,Snake River,42.60318639,-113.5977975,2,4,yes,
0,Wang 2017,https://doi.org/10.1016/j.scitotenv.2016.09.213,2016,2016,pump,Teflon pump,not mentioned,lake,0.05,sieve,20,given,,4.630004762,,107,,WPO,dissecting,ftir,ftir,,,fiber,,0.05,0.5,,,,clear,blue,Wuhan area lakes,30.54562933,114.2837796,7,0,no,"two replicates at each sample, averaged all 20 lakes sampled (individual lake values available in Supp Mat). Types of polymer not listed by site in study, so I haven't included them in these rows. study-average (44 FTIR'ed particles) for all three entries were #1: PET, #2 most common: PP"
0,Wang 2017,https://doi.org/10.1016/j.scitotenv.2016.09.213,2016,2016,pump,Teflon pump,not mentioned,river,0.05,sieve,20,given,,2.5167,0.9117,11,,WPO,dissecting,ftir,ftir,,,fiber,,0.05,0.5,,,,clear,colored,Yangtze River,30.54562933,114.2837796,7,0,no,"two replicates at each sample, yangtze river. Types of polymer not listed by site in study, so I haven't included them in these rows. study-average (44 FTIR'ed particles) for all three entries were #1: PET, #2 most common: PP"
0,Wang 2017,https://doi.org/10.1016/j.scitotenv.2016.09.213,2016,2016,pump,Teflon pump,not mentioned,river,0.05,sieve,20,given,,2.933,0.3055,5,,WPO,dissecting,ftir,ftir,,,fiber,,0.05,0.5,,,,blue,clear,Hanjaing River,30.54562933,114.2837796,7,0,no,"two replicates at each sample, hanjiang river. Types of polymer not listed by site in study, so I haven't included them in these rows. study-average (44 FTIR'ed particles) for all three entries were #1: PET, #2 most common: PP"
0,Vermaire 2017,https://doi.org/10.1139/facets-2016-0070,2016,2016,grab,bucket+handnet,vessel,river,0.1,mesh,100,given,,0.1,,62,,WPO,stereomicroscope,none,visual,,,fiber,size < .1mm,,,,,,red,blue,Ottawa River,45.48613055,-75.53669397,11,0,no,paired. Nearshore. Concentrations are medians
0,Isobe 2017,https://doi.org/10.1016/j.marpolbul.2016.09.037,2016,2016,net,rectangular,mechanical flowmeter,marine,0.35,mesh,415800,averaged,5.5,0.00003146,4.19E-05,5,44,none,dissecting,ftir,ftir,,,fragment,,,,,polyethylene,polypropylene,,,Southern Ocean,-54.43381341,134.2805286,0,0,no,"re: separation-- says they sent off samples to isolate plastic fragments but doesn't list any specifics about how that was done before immediately talking about visual id, so I'm guessing that's how it was separated (and have written ""none"" in the separation column)"
0,Wang 2018,https://doi.org/10.1016/j.marpolbul.2018.01.050,2016,2016,net,rectangular,GPS distance,marine,0.333,mesh,148160.16,"calculated, speed",5,0.00033,0.000278,12,,WPO,dissecting,ftir,ftir,,,fiber,,0.5,3,,polyethylene terephthalate,cellophane,colored,black,East China Sea,32.35600878,121.1104161,>1,0,yes,"yellow sea. ""only a few syntheic fibers were detected in the blank samples"" is as specific as the methods get (paragraph 1, section 3.1)"
0,Zhang 2017,https://doi.org/10.1016/j.envpol.2017.08.058,2016,2016,net,manta,flowmeter,marine,0.33,mesh,173191.1245,"calculated, speed",5,0.00033,0.00034,11,2925,WPO,dissecting,ftir,ftir,,,fragment,,0.33,0.01,,polyethylene,polypropylene,white,clear,Bohai Sea,38.80860444,119.8443843,>1,>1,yes,"assumed half of manta opening was submerged. Included only ""microplastics"" not ""all plastic samples"" for concentration value here"
0,Kapp 2018,https://doi.org/10.1016/j.envpol.2018.06.033,2016,2016,net,conical,flowmeter,river,0.1,mesh,3207,given,,0.00257,0.003,28,185,WPO,dissecting,Raman,Raman,31,0.676,fiber,clear and pink fibers,0.1,0.5,,,,,,Snake River,42.60318639,-113.5977975,2,4,yes,used hot needle test and then Raman
0,Vermaire 2017,https://doi.org/10.1139/facets-2016-0070,2016,2016,net,manta,digital flowmeter,river,0.1,mesh,128000,given,,0.00135,,62,,WPO,stereomicroscope,none,visual,,,fiber,size < .1mm,,,,,,red,blue,Ottawa River,45.48613055,-75.53669397,11,0,no,paired. Middle of the river. Concentrations are medians
0,Anderson 2017,https://doi.org/10.1016/j.envpol.2017.02.072,2014,2016,net,manta,GPS distance,lake,0.333,mesh,118309.5,"calculated, distance",,0.002149113,,12,,WPO,visual,SEM,SEM,,0.77,fiber,paint,,,,,,,,Lake Winnipeg,52.21246014,-97.71033606,4,2,yes,"I've calculated volume based on averaging tow distance range (530m-3780m) and multiplying it by net width * 1/2 net height (assuming half submerged). Averaged all 3 years, all sites concentration (items/km2), then divided by half of net height"
